label,profile.cov.7T,profile.cov.micapni
lh_L_1,0.0709314379495632,0.101243736910463
lh_L_10d,0.0524928307028504,0.0796861920997631
lh_L_10pp,0.0539127045375192,0.0815957175611609
lh_L_10r,0.0518538625750174,0.0631137910211174
lh_L_10v,0.0494366540560136,0.0731761590240958
lh_L_11l,0.0566364418658695,0.0802979706906334
lh_L_13l,0.0499667294039534,0.079067772023033
lh_L_2,0.0652755060555679,0.103326676845215
lh_L_23c,0.0502263376958407,0.0834767773333085
lh_L_23d,0.0487279975253817,0.0596679072982543
lh_L_24dd,0.0558631353503285,0.0903425596896089
lh_L_24dv,0.0563735755954829,0.0717146611966417
lh_L_31a,0.0483904135786041,0.066989530090945
lh_L_31pd,0.0559206080347138,0.0732204645595524
lh_L_31pv,0.0519272169825071,0.0758312022581286
lh_L_33pr,0.0600272894466404,0.0438394635123321
lh_L_3a,0.0654858549674843,0.107846715680856
lh_L_3b,0.0842020486141931,0.138851478123315
lh_L_4,0.0595913764268212,0.10019205359463
lh_L_43,0.0486312620428813,0.0881251049484289
lh_L_44,0.0435960819795789,0.083538684624751
lh_L_45,0.0479987484432808,0.0837867634623326
lh_L_46,0.0534251097014723,0.0880964882103209
lh_L_47l,0.0451670412387662,0.0761658992427168
lh_L_47m,0.0515081418772934,0.0878866132631178
lh_L_47s,0.0344008643400882,0.0677579979004272
lh_L_52,0.0470852159039939,0.0916726550841914
lh_L_55b,0.0545492110719045,0.0903125110347557
lh_L_5L,0.0676311739714295,0.100517370928377
lh_L_5m,0.0676859563041412,0.111603900129448
lh_L_5mv,0.0613436842085382,0.0847594926081238
lh_L_6a,0.058464298564093,0.0958199033318204
lh_L_6d,0.0626055235179657,0.10005776581135
lh_L_6ma,0.0602274344101086,0.0854579282833206
lh_L_6mp,0.0585238032841744,0.0984571713304048
lh_L_6r,0.0471091427954111,0.0921370697346931
lh_L_6v,0.0552996968750872,0.0836363507636098
lh_L_7AL,0.0643071289259736,0.0970222271216935
lh_L_7Am,0.058066999453264,0.0883984107262633
lh_L_7PC,0.0670497889895491,0.0926731646292659
lh_L_7PL,0.0628637351944739,0.0921280080228276
lh_L_7Pm,0.0590999757816772,0.0836918269318176
lh_L_7m,0.0535624778363639,0.076056345497964
lh_L_8Ad,0.0558084466077166,0.091680227173521
lh_L_8Av,0.0543362187467311,0.0910543013846876
lh_L_8BL,0.0516358084441141,0.082383394511827
lh_L_8BM,0.0530319306589817,0.0769397461450267
lh_L_8C,0.0534920058871854,0.0893710482982122
lh_L_9-46d,0.0551898045850709,0.0866518417877292
lh_L_9a,0.056413121292075,0.0872902853642937
lh_L_9m,0.0498397223954935,0.07073590857649
lh_L_9p,0.0539848558414043,0.0893030039097754
lh_L_A1,0.044516396141931,0.085027656132483
lh_L_A4,0.0478247570525543,0.0842473072775802
lh_L_A5,0.0470749534886191,0.0797243910488225
lh_L_AAIC,0.0297804108769792,0.0661355224755218
lh_L_AIP,0.0583713123252644,0.0974547582088923
lh_L_AVI,0.0414344087217423,0.0812108045531076
lh_L_DVT,0.061518495024222,0.0941228604478547
lh_L_FEF,0.0562852798234342,0.0921633007150982
lh_L_FFC,0.046407885719982,0.0816299150548703
lh_L_FOP1,0.0384866360774689,0.0695311263921788
lh_L_FOP2,0.0477785687814767,0.0718965576862936
lh_L_FOP3,0.0478793574659322,0.0755499052054552
lh_L_FOP4,0.0444762332388795,0.0719431237898562
lh_L_FOP5,0.0440987509505122,0.0734267415800649
lh_L_FST,0.0529940658061579,0.0905502581076647
lh_L_IFJa,0.0517280559490668,0.0976094128954658
lh_L_IFJp,0.0489120859809414,0.0950978196152367
lh_L_IFSa,0.0532870177175061,0.0921197638996132
lh_L_IFSp,0.051647559796441,0.093922760973401
lh_L_IP0,0.0612616517372133,0.0950568444797531
lh_L_IP1,0.0592974770735298,0.0938895765254741
lh_L_IP2,0.0567958437910444,0.0938086552665258
lh_L_IPS1,0.0704360375391745,0.102275394566181
lh_L_Ig,0.0446513403172997,0.0773316227807785
lh_L_LBelt,0.054085018184495,0.0998204312225917
lh_L_LIPd,0.0605177562142391,0.100588173655396
lh_L_LIPv,0.0691003088945057,0.0978040073699808
lh_L_LO1,0.0612292929084816,0.0944268496913888
lh_L_LO2,0.0521281845647176,0.0911179818065025
lh_L_LO3,0.0563205467524466,0.0950077153671889
lh_L_MBelt,0.0460853465982331,0.0886326031159854
lh_L_MI,0.0357957719200054,0.0646955843434981
lh_L_MIP,0.0656934511214825,0.0982858237803867
lh_L_MST,0.0597979890937826,0.101064991200567
lh_L_MT,0.0624116439590717,0.0979063964038381
lh_L_OP1,0.047166659010143,0.0810773938720682
lh_L_OP2-3,0.0480646664807435,0.0780826751401453
lh_L_OP4,0.0490194955121896,0.0792472982425294
lh_L_PBelt,0.0487675116493344,0.0906807373851275
lh_L_PCV,0.0550455176722568,0.0817750059423107
lh_L_PEF,0.0535661414223308,0.0923844763492043
lh_L_PF,0.0491609872073037,0.0889814207019847
lh_L_PFcm,0.0478585151261941,0.087101241353002
lh_L_PFm,0.0522500686220112,0.0915469137841894
lh_L_PFop,0.0477217665038914,0.0898082344028781
lh_L_PFt,0.0524057161500512,0.0986025107160865
lh_L_PGi,0.0514401468603408,0.0893439389343289
lh_L_PGp,0.0514056434607281,0.0905020006440265
lh_L_PGs,0.0520624139992924,0.0919956235654835
lh_L_PH,0.0509775043637072,0.0937557315624515
lh_L_PHA1,0.0377951861111163,0.0837152906350882
lh_L_PHA2,0.0450820883279924,0.119918635890524
lh_L_PHA3,0.0439919521944948,0.0884779284288626
lh_L_PHT,0.0457916941096185,0.0818843232316443
lh_L_PI,0.0401852871280642,0.066696002835481
lh_L_PIT,0.0499721941954836,0.0902283174254943
lh_L_POS1,0.0444249187110899,0.0757020374633356
lh_L_POS2,0.0597834527367453,0.0886289769716981
lh_L_PSL,0.0442663997867723,0.0866842114801406
lh_L_PoI1,0.0402724675727831,0.0697277024571906
lh_L_PoI2,0.0330165214982367,0.060751996241417
lh_L_ProS,0.0447312805095153,0.0786790810935507
lh_L_RI,0.0424475982704829,0.0892650518917042
lh_L_RSC,0.0395505481185244,0.0549696210313285
lh_L_SCEF,0.0562716975967394,0.0839734300793419
lh_L_SFL,0.0574379990343206,0.0833056766371228
lh_L_STGa,0.037516210960584,0.0747553700968646
lh_L_STSda,0.0452593320815692,0.0961945767061718
lh_L_STSdp,0.0491034759152752,0.0943910027489185
lh_L_STSva,0.0467804773869742,0.100564917991243
lh_L_STSvp,0.0438785974866144,0.0979966571279692
lh_L_STV,0.0446211716119807,0.0794851312035578
lh_L_TA2,0.0374893553096543,0.076115889407635
lh_L_TE1a,0.0437479934101965,0.0783852214019145
lh_L_TE1m,0.0428494786508063,0.0809084234101642
lh_L_TE1p,0.0438104292018493,0.0837931948930841
lh_L_TE2p,0.0448188739246796,0.0981965551913527
lh_L_TGd,0.041486382927864,0.0723027546834278
lh_L_TPOJ1,0.0503232797280512,0.092261463583432
lh_L_TPOJ2,0.049217733148943,0.0870363310040397
lh_L_TPOJ3,0.0554157268724284,0.0990147620358951
lh_L_V1,0.052404758832128,0.0940736491533311
lh_L_V2,0.0550010776608586,0.0918810537043671
lh_L_V3,0.0586781161102046,0.0935708950849333
lh_L_V3A,0.0700467701105529,0.102632073821802
lh_L_V3B,0.0635001584077582,0.100149595918874
lh_L_V3CD,0.0598947447430206,0.0893782951887393
lh_L_V4,0.0581688899519776,0.0927152863710949
lh_L_V4t,0.0560533797311571,0.0892019399728213
lh_L_V6,0.0684308514399074,0.107922326106422
lh_L_V6A,0.0606823849831347,0.0913157935521114
lh_L_V7,0.0742220421680956,0.098031304100515
lh_L_V8,0.0520317170861416,0.083987136539149
lh_L_VIP,0.0636154364312393,0.0950946649518051
lh_L_VMV1,0.0447747972861704,0.0813331318450523
lh_L_VMV2,0.0495981015991798,0.0860679128804115
lh_L_VMV3,0.0483755206805223,0.0764683563695035
lh_L_VVC,0.0432132826776799,0.0793068439399246
lh_L_a10p,0.0578619961629984,0.0816357709706087
lh_L_a24,0.0453576727325188,0.0552380774956179
lh_L_a24pr,0.0524310113911604,0.0620466385474368
lh_L_a32pr,0.0530658299426723,0.0676257241382725
lh_L_a47r,0.0535483924081401,0.0823970313533386
lh_L_a9-46v,0.0552837457305525,0.0843249658015018
lh_L_d23ab,0.0466649560165285,0.0589769305540808
lh_L_d32,0.0497725034090231,0.0646333956245892
lh_L_i6-8,0.0568774506129406,0.0912299494117985
lh_L_p10p,0.059693072533281,0.0900518487809773
lh_L_p24,0.049451249814719,0.0603599584326184
lh_L_p24pr,0.0536326227278232,0.066511543076807
lh_L_p32,0.0517831224893463,0.0589169108057945
